farmStrID,d0,d1,t0,t1,size,sizeInf,sizeDead,sizeRemoved
F998,0,43,12,1037,1516,0,0,0
F1154,0,43,12,1037,1424,0,0,0
F521,0,43,12,1037,1048,0,0,0
F229,0,43,12,1037,2770,0,0,0
F98,0,43,12,1037,1774,0,0,0
F153,0,43,12,1044,1641,0,0,1641
F650,0,43,12,1044,3356,0,0,3356
F247,0,43,12,1044,1541,0,0,1541
F408,0,43,12,1044,1200,0,0,1200
F349,0,43,12,1044,1384,0,0,1384
F140,0,43,12,1044,1003,0,0,1003
F232,0,43,12,1044,2025,0,0,2025
F702,0,43,12,1044,2040,0,0,2040
F405,0,43,12,1044,1867,0,0,1867
F664,0,43,12,1044,977,0,0,977
F538,0,43,12,1044,1993,0,0,1993
F1076,0,43,12,1044,1125,0,0,1125
F204,0,43,12,1044,1280,0,0,1280
F826,0,43,12,1044,1778,0,0,1778
F478,0,43,12,1044,1017,0,0,1017
F187,0,43,12,1044,1295,0,0,1295
F260,0,43,12,1044,1060,0,0,1060
F734,0,43,12,1044,1817,0,0,1817
F722,0,43,12,1044,833,0,0,833
F398,0,43,12,1044,1074,0,0,1074
F1152,0,43,12,1044,2007,0,0,2007
F1129,0,43,12,1044,2010,0,0,2010
F554,0,43,12,1044,1232,0,0,1232
F1052,0,43,12,1044,1128,0,0,932
F411,0,43,12,1044,719,0,0,719
F539,0,43,12,1044,836,0,0,836
F682,0,43,12,1044,1008,0,0,1008
F423,0,43,12,1044,799,0,0,799
F834,0,43,12,1044,1897,0,0,1897
F66,0,43,12,1044,1534,0,0,1534
F340,0,43,12,1044,1054,0,0,1054
F68,0,43,12,1044,954,0,0,954
F684,0,43,12,1044,2341,0,0,1427
F161,0,43,12,1044,2013,0,0,2013
F446,0,43,12,1044,1023,0,0,1023
F896,0,43,12,1044,607,0,0,607
F121,0,43,12,1044,867,0,0,867
F928,0,43,12,1044,3016,0,0,3016
F1186,0,43,12,1044,2332,0,0,2332
F1199,0,43,12,1044,2012,0,0,2012
F388,0,43,12,1044,1098,0,0,1098
F980,0,43,12,1044,2823,0,0,2823
